Date,FEMSAUBD.MX,GMEXICOB.MX,WALMEX.MX
2025-05-29,191.7177276611328,105.58306121826172,63.97998809814453
2025-05-30,190.62606811523438,103.54463958740234,61.5883903503418
2025-06-02,189.21058654785156,101.48688507080078,62.55086135864258
2025-06-03,187.81361389160156,101.93126678466797,62.278648376464844
2025-06-04,185.96334838867188,102.52059173583984,62.59947204589844
2025-06-05,187.0272674560547,104.73291778564453,63.464725494384766
2025-06-06,188.85903930664062,104.33682250976562,62.14254379272461
2025-06-09,184.4923553466797,105.30290222167969,62.69668960571289
2025-06-10,185.8245849609375,103.21615600585938,62.91057586669922
2025-06-11,186.23162841796875,103.0132827758789,61.909217834472656
2025-06-12,184.95494079589844,103.31278228759766,61.26757049560547
2025-06-13,185.51002502441406,102.4239730834961,61.00507736206055
2025-06-16,183.0121307373047,102.64618682861328,59.76067352294922
2025-06-17,180.5419921875,103.37073516845703,59.40095901489258
2025-06-18,178.96923828125,104.83917999267578,60.178714752197266
2025-06-19,177.33172607421875,101.44823455810547,59.00236129760742
2025-06-20,177.4242401123047,101.13909149169922,59.167633056640625
2025-06-23,178.21987915039062,101.39027404785156,59.30374526977539
2025-06-24,177.9886016845703,103.37073516845703,61.218963623046875
2025-06-25,175.86074829101562,104.88748168945312,62.09393310546875
2025-06-26,177.64630126953125,109.69857025146484,61.8120002746582
2025-06-27,177.88682556152344,108.82910919189453,62.317535400390625
2025-06-30,178.5899200439453,109.40875244140625,60.35371398925781
2025-07-01,179.25604248046875,110.27821350097656,60.946746826171875
2025-07-02,183.85401916503906,110.94481658935547,60.83008575439453
2025-07-03,184.46461486816406,109.53433227539062,59.5856819152832
2025-07-04,182.47555541992188,108.32672882080078,59.27457809448242
2025-07-07,182.38302612304688,109.56332397460938,57.89406204223633
2025-07-08,180.02392578125,109.98839569091797,57.06769943237305
2025-07-09,176.5731201171875,107.52488708496094,56.853816986083984
2025-07-10,174.7135772705078,111.0993881225586,57.15519714355469
2025-07-11,173.52012634277344,111.35057067871094,56.912147521972656
2025-07-14,170.98524475097656,110.27821350097656,56.046897888183594
2025-07-15,170.93899536132812,109.6406021118164,55.901065826416016
2025-07-16,172.24343872070312,109.35078430175781,55.70663070678711
2025-07-17,177.7576141357422,109.6502685546875,51.8178596496582
2025-07-18,175.728515625,110.16228485107422,52.0025749206543
2025-07-21,176.00221252441406,110.69364166259766,49.465152740478516
2025-07-22,173.06712341308594,113.10884094238281,50.1068000793457
2025-07-23,170.54727172851562,115.1955795288086,52.48867416381836
2025-07-24,171.34945678710938,114.96371459960938,53.40253448486328
2025-07-25,172.349853515625,114.432373046875,53.73308181762695
2025-07-28,163.063232421875,116.49978637695312,54.04418182373047
2025-07-29,163.09153747558594,119.22413635253906,55.08442687988281
2025-07-30,159.72232055664062,114.96371459960938,55.298309326171875
2025-07-31,160.95863342285156,113.69815063476562,54.05390167236328
2025-08-01,158.6181182861328,114.60626983642578,53.80113220214844
2025-08-04,157.4761505126953,117.96823120117188,52.45950698852539
2025-08-05,157.80648803710938,116.74130249023438,52.80949401855469
2025-08-06,154.8713836669922,115.63031768798828,52.41089630126953
2025-08-07,155.58863830566406,117.83297729492188,55.346920013427734
2025-08-08,152.5025177001953,118.73143768310547,54.68582534790039
2025-08-11,152.1250457763672,119.16617584228516,54.598331451416016
2025-08-12,151.1246337890625,124.82742309570312,54.62749481201172
2025-08-13,150.81320190429688,123.28168487548828,55.02609634399414
2025-08-14,150.22805786132812,123.67778015136719,54.510833740234375
2025-08-15,150.70938110351562,122.91456604003906,55.08442687988281
2025-08-18,151.23788452148438,123.6487808227539,54.45249938964844
2025-08-19,150.25637817382812,123.1947250366211,55.67746353149414
2025-08-20,152.7950897216797,120.26750183105469,55.89134979248047
2025-08-21,154.44668579101562,120.56698608398438,56.07606506347656
2025-08-22,156.23040771484375,123.1754150390625,55.774681091308594
2025-08-25,155.56976318359375,120.76020050048828,54.355281829833984
2025-08-26,153.3330535888672,120.18055725097656,53.674747467041016
2025-08-27,153.22923278808594,120.58631896972656,54.121952056884766
2025-08-28,154.44668579101562,119.46566009521484,54.05390167236328
2025-08-29,152.7950897216797,118.27737426757812,54.209449768066406
2025-09-01,154.68263244628906,119.11787414550781,54.530277252197266
2025-09-02,153.02159118652344,120.34479522705078,55.278865814208984
2025-09-03,147.67990112304688,122.69237518310547,54.38444519042969
2025-09-04,151.01136779785156,123.76605224609375,54.744163513183594
2025-09-05,150.728271484375,124.44930267333984,55.41497039794922
2025-09-08,153.1631622314453,125.35704040527344,55.22053146362305
2025-09-09,153.1254119873047,127.9729232788086,54.83165740966797
2025-09-10,152.55914306640625,128.48048400878906,54.69554901123047
2025-09-11,157.89141845703125,130.40335083007812,53.93724060058594
2025-09-12,160.81707763671875,131.8186492919922,53.703914642333984
2025-09-15,163.40298461914062,133.72198486328125,55.28858947753906
2025-09-17,160.50564575195312,131.8284149169922,55.201087951660156
2025-09-18,160.83595275878906,129.99337768554688,55.08442687988281
2025-09-19,167.06478881835938,130.31549072265625,55.76496124267578
2025-09-22,168.07461547851562,133.53652954101562,54.64693832397461
2025-09-23,170.2830047607422,133.2632293701172,55.22053146362305
2025-09-24,170.21694946289062,139.4515380859375,55.22053146362305
2025-09-25,169.1599578857422,143.48272705078125,54.53999710083008
2025-09-26,170.9436492919922,144.4783172607422,54.38444519042969
2025-09-29,172.3309783935547,153.44842529296875,54.73443603515625
2025-09-30,170.3018798828125,155.54698181152344,55.006656646728516
2025-10-01,165.5264434814453,152.75543212890625,53.8497428894043
2025-10-02,167.70654296875,154.22927856445312,54.32611846923828
2025-10-03,166.03607177734375,156.61090087890625,53.95668411254883
2025-10-06,164.98851013183594,133.13633728027344,53.110877990722656
2025-10-07,163.75216674804688,134.53213500976562,53.21781921386719
2025-10-08,166.0455322265625,137.6360321044922,54.29695129394531
2025-10-09,165.26219177246094,141.2475128173828,55.094146728515625
2025-10-10,164.15798950195312,141.77459716796875,54.763607025146484
2025-10-13,161.72308349609375,144.7321014404297,55.30803298950195
2025-10-14,160.83595275878906,145.51295471191406,56.48438262939453
2025-10-15,161.90240478515625,145.18109130859375,59.26485061645508
2025-10-16,169.94822692871094,147.2406005859375,60.65509033203125
2025-10-17,170.48831176757812,145.01516723632812,60.08149719238281
2025-10-20,170.21826171875,149.16348266601562,60.0134391784668
2025-10-21,165.41551208496094,146.23526000976562,59.867618560791016
2025-10-22,170.9994354248047,145.8936309814453,60.52870178222656
2025-10-23,171.6455841064453,147.45535278320312,59.80928421020508
2025-10-24,169.68783569335938,146.2742919921875,59.30374526977539
2025-10-27,170.025390625,151.2913055419922,59.78011703491211
2025-10-28,168.54019165039062,152.22833251953125,60.71342468261719
2025-10-29,168.48233032226562,159.7538604736328,60.0134391784668
2025-10-30,170.64260864257812,161.58888244628906,59.13847351074219
2025-10-31,168.8005828857422,156.4742431640625,59.78983688354492
2025-11-03,167.92295837402344,152.17953491210938,59.26485061645508
2025-11-04,165.60838317871094,148.3435516357422,59.712059020996094
2025-11-05,168.57876586914062,155.06869506835938,60.41204071044922
2025-11-06,167.1417999267578,154.4635467529297,60.363433837890625
2025-11-07,170.50759887695312,155.9276580810547,60.8884162902832
2025-11-10,167.74937438964844,155.6641082763672,60.207881927490234
2025-11-11,172.34962463378906,158.61184692382812,61.967552185058594
2025-11-12,169.3985137939453,155.6055450439453,60.61620330810547
2025-11-13,165.95558166503906,152.9408721923828,59.68289566040039
2025-11-14,165.8494873046875,150.6470947265625,60.334266662597656
2025-11-18,166.80426025390625,146.498779296875,60.66934585571289
